Defina uma numero ímpar para ser o K:5
Conjunto Treinado: 92
Conjunto de Teste: 57

Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-setosa || valor real: Iris-setosa -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-versicolor -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-versicolor -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-versicolor -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-versicolor -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-versicolor -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-versicolor -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-versicolor -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-versicolor -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-versicolor -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-versicolor -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-versicolor -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-versicolor -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-versicolor -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-versicolor -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-versicolor -> ACERTOU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-virginica -> ERROU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
Valor obtido: Iris-versicolor || valor real: Iris-virginica -> ERROU
Valor obtido: Iris-virginica || valor real: Iris-virginica -> ACERTOU
