Conjunto Treinado: 12824
Conjunto de Teste: 6195
Errou 1232
Acertou 4963
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: h || valor real: g -> ERROU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
Valor obtido: g || valor real: g -> ACERTOU
